FID,ogc_fid,wkb_geometry,name,description,timestamp,begin,end,altitudemode,tessellate,extrude,visibility,draworder,icon,referencia,direccion,lat,lon
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3d6e,12050,POINT (372268.20964618487 4063638.1154064364),MLG1082,Fernán Núñez,,,,,-1,0,-1,,,MLG1082,Fernán Núñez,36.709843,-4.430116
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3d6d,12051,POINT (369951.33819138084 4063716.169658241),MLG1083,Obsidiana,,,,,-1,0,-1,,,MLG1083,Obsidiana,36.710232,-4.456062
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3d6c,12052,POINT (370013.2034125906 4063830.632160838),MLG1084,Arenisca,,,,,-1,0,-1,,,MLG1084,Arenisca,36.711272,-4.455389
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3d6b,12053,POINT (369924.8730509949 4063838.299094747),MLG1085,Arenisca,,,,,-1,0,-1,,,MLG1085,Arenisca,36.711329,-4.456379
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3d6a,12054,POINT (370224.0956678938 4063822.1055219504),MLG1086,Corregidor Pedro Zapata,,,,,-1,0,-1,,,MLG1086,Corregidor Pedro Zapata,36.711224,-4.453027
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3d69,12055,POINT (370370.56729375955 4063801.354899908),MLG1087,Corregidor Francisco de Luján,,,,,-1,0,-1,,,MLG1087,Corregidor Francisco de Luján,36.711057,-4.451384
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3d68,12056,POINT (370359.46048829285 4063858.4474338773),MLG1088,Mirra,,,,,-1,0,-1,,,MLG1088,Mirra,36.711570,-4.451518
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3d67,12057,POINT (370324.9149947871 4063966.494498849),MLG1089,Corregidor Francisco de Molina,,,,,-1,0,-1,,,MLG1089,Corregidor Francisco de Molina,36.712539,-4.451923
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3d66,12058,POINT (370426.0308360109 4064012.6773109003),MLG1090,Corregidor Francisco de Molina,,,,,-1,0,-1,,,MLG1090,Corregidor Francisco de Molina,36.712969,-4.450799
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3d65,12059,POINT (370526.4775628227 4064014.707923298),MLG1091,Corregidor Antonio de Bobadilla,,,,,-1,0,-1,,,MLG1091,Corregidor Antonio de Bobadilla,36.713001,-4.449675
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3d64,12060,POINT (370447.5903423742 4063483.3879440688),MLG1092,del Alcalde Díaz Zafra,,,,,-1,0,-1,,,MLG1092,del Alcalde Díaz Zafra,36.708202,-4.450468
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3d63,12061,POINT (370405.03251799627 4063640.712615208),MLG1093,Coronel Osuna,,,,,-1,0,-1,,,MLG1093,Coronel Osuna,36.709614,-4.450971
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3d62,12062,POINT (370579.14865923766 4063616.3292571027),MLG1094,Valle de Abdalajís,,,,,-1,0,-1,,,MLG1094,Valle de Abdalajís,36.709418,-4.449018
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3d61,12063,POINT (370703.89642908424 4063665.3760751938),MLG1095,de Alozaina,,,,,-1,0,-1,,,MLG1095,de Alozaina,36.709877,-4.447630
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3d60,12064,POINT (372557.19435082725 4064079.876357223),MLG1096,Salitre,,,,,-1,0,-1,,,MLG1096,Salitre,36.713863,-4.426955
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3d5f,12065,POINT (362171.6555794634 4062940.8483824413),MLG1097,de Santa Agueda,,,,,-1,0,-1,,,MLG1097,de Santa Agueda,36.702148,-4.542998
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3d5e,12066,POINT (371387.8536227746 4063757.8230790556),MLG1098,Santa Marta,,,,,-1,0,-1,,,MLG1098,Santa Marta,36.710803,-4.439990
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3d5d,12067,POINT (365806.78872521076 4058077.1824582634),MLG1099,María Martínez Sierra,,,,,-1,0,-1,,,MLG1099,María Martínez Sierra,36.658838,-4.501463
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3d5c,12068,POINT (371847.1891288223 4064756.589084685),MLG1100,Santa Elena,,,,,-1,0,-1,,,MLG1100,Santa Elena,36.719866,-4.435016
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3d5b,12069,POINT (371671.087161846 4065099.7741231145),MLG1101,Aránzazu,,,,,-1,0,-1,,,MLG1101,Aránzazu,36.722935,-4.437045
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3d5a,12070,POINT (362667.5345625059 4065276.855539973),MLG1102,José Calderón,,,,,-1,0,-1,,,MLG1102,José Calderón,36.723271,-4.537868
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3d59,12071,POINT (374725.65054724214 4066154.9054368823),MLG1103,la Era,,,,,-1,0,-1,,,MLG1103,la Era,36.732852,-4.403022
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3d58,12072,POINT (373975.94505180436 4066354.3338703867),MLG1104,de los Almendrales,,,,,-1,0,-1,,,MLG1104,de los Almendrales,36.734550,-4.411449
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3d57,12073,POINT (372626.78341821523 4065951.5550027895),MLG1105,Martiricos,,,,,-1,0,-1,,,MLG1105,Martiricos,36.730740,-4.426488
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3d56,12074,POINT (370909.26213355 4065676.483932763),MLG1106,Albacete,,,,,-1,0,-1,,,MLG1106,Albacete,36.728029,-4.445671
