FID,ID,NOMBRE,DESCRIPCION,DIRECCION,SDOGEOMETRIA,URL,EMAIL,CONTACTO,HORARIOS,PRECIOS,TITULARIDAD,TARJETAJOVEN,ACCESOPMR,INFOESP,lon,lat
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_74a9,2056,Contenedor pilas Pl Olletas,,"PLAZA DE OLLETAS, 6 ",POINT (-4.416092136502598 36.73336117411395),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.416092136502598,36.73336117411395
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_74aa,2177,Contenedor pilas Cl Mercedes Formica ,,"CALLE MERCEDES FÓRMICA, 4 ",POINT (-4.505621359150893 36.659366415436935),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.505621359150893,36.659366415436935
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_74ab,2153,Contenedor pilas Cl La Gitanilla,,"CALLE DE LA GITANILLA, 17 ",POINT (-4.496598835422953 36.70247559056339),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""Si"" } ] ",-4.496598835422953,36.70247559056339
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_74ac,2120,Contenedor pilas Cl Hilera ,,"CALLE HILERA, 11 ",POINT (-4.43298539743249 36.71936572067969),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.43298539743249,36.71936572067969
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_74ad,2081,Contenedor pilas Cl Arquitecto Francisco Peñalosa ,,"CALLE ARQUITECTO FRANCISCO PEÑALOSA, 6 ",POINT (-4.492240821122141 36.7149716907267),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.492240821122141,36.7149716907267
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_74ae,2145,Contenedor pilas Av de Europa,,"AVENIDA DE EUROPA, 99 ",POINT (-4.452925535382544 36.69955091020245),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""Si"" } ] ",-4.452925535382544,36.69955091020245
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_74af,2095,Contenedor pilas Cmno Viejo De Velez,,"CAMINO VIEJO DE VÉLEZ, 1 ",POINT (-4.3471798078734345 36.7220979370301),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.3471798078734345,36.7220979370301
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_74b0,2165,Contenedor pilas Cl Navarro Ledesma ,,"CALLE NAVARRO LEDESMA, 156 ",POINT (-4.476408128785858 36.72472166854722),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.476408128785858,36.72472166854722
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_74b1,2128,Contenedor pilas Cl La Unión ,,"CALLE LA UNIÓN, 28 ",POINT (-4.437650256145317 36.71146064769364),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.437650256145317,36.71146064769364
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_74b2,2064,Contenedor pilas Pl Bailen,,"PLAZA BAILÉN, 8 ",POINT (-4.431811660279521 36.724382149170935),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.431811660279521,36.724382149170935
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_74b3,2088,Contenedor pilas Cl Federico Fellini,,"CALLE FEDERICO FELLINI, 34 ",POINT (-4.3895900221314195 36.72747075129965),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.3895900221314195,36.72747075129965
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_74b4,2174,Contenedor pilas Cl Martínez Maldonado 58,,"CALLE MARTÍNEZ MALDONADO, 58 ",POINT (-4.438694273449397 36.7215933723506),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""Si"" } ] ",-4.438694273449397,36.7215933723506
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_74b5,2063,Contenedor pilas Cl Quintanar De La Orden ,,"CALLE QUINTANAR DE LA ORDEN, 1 ",POINT (-4.421697426543169 36.75090563587703),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.421697426543169,36.75090563587703
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_74b6,2105,Contenedor pilas Cl Obispo Bartolome Espejo,,"CALLE OBISPO BARTOLOMÉ ESPEJO, 10 ",POINT (-4.421875733453516 36.73512770846646),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.421875733453516,36.73512770846646
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_74b7,2182,Contenedor pilas Pl Inmaculada 12,,"PLAZA DE LA INMACULADA, 12 ",POINT (-4.5029090949281905 36.66922392525133),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.5029090949281905,36.66922392525133
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_74b8,2147,Contenedor pilas Pl Inmaculada 11,,"PLAZA DE LA INMACULADA, 11 ",POINT (-4.502800074221962 36.66916057971967),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""Si"" } ] ",-4.502800074221962,36.66916057971967
