FID,ID,NOMBRE,DESCRIPCION,DIRECCION,SDOGEOMETRIA,URL,EMAIL,CONTACTO,HORARIOS,PRECIOS,TITULARIDAD,TARJETAJOVEN,ACCESOPMR,INFOESP,lon,lat
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7536,3377,Contenedor ropa Cl Idris,,"CALLE IDRIS, 1 ",POINT (-4.396577478663516 36.72320671352982),,,,,,MUNICIPAL,No,No,,-4.396577478663516,36.72320671352982
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7535,3422,Contenedor ropa Cl Reding,,"CALLE REDING, 17 ",POINT (-4.411103346380502 36.71775208458276),,,,,,MUNICIPAL,No,No,,-4.411103346380502,36.71775208458276
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7534,3315,Contenedor ropa Cl Amador De Los Rios,,"CALLE AMADOR DE LOS RÍOS, 23 ",POINT (-4.3693526092692725 36.72554572926087),,,,,,MUNICIPAL,No,No,,-4.3693526092692725,36.72554572926087
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7533,3268,Contenedor ropa Av Fátima,,"AVENIDA DE FÁTIMA, 10 ",POINT (-4.426364955471993 36.72401087163491),,,,,,MUNICIPAL,No,No,,-4.426364955471993,36.72401087163491
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7532,3352,Contenedor ropa Cl Ferrandiz 18,,"CALLE FERRÁNDIZ, 18 ",POINT (-4.412549526438373 36.72712321908102),,,,,,MUNICIPAL,No,No,,-4.412549526438373,36.72712321908102
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7531,3364,Contenedor ropa Cl Guadalhorce,,"CALLE GUADALHORCE, 1 ",POINT (-4.464732138041772 36.66932648386197),,,,,,MUNICIPAL,No,No,,-4.464732138041772,36.66932648386197
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7530,3296,Contenedor ropa Av Plutarco 26,,"AVENIDA DE PLUTARCO, 26 ",POINT (-4.476119521950166 36.72095932878959),,,,,,MUNICIPAL,No,No,,-4.476119521950166,36.72095932878959
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-752f,3390,Contenedor ropa Cl Juana Castro,,"CALLE JUANA CASTRO, 2 ",POINT (-4.468782921345107 36.7249595663285),,,,,,MUNICIPAL,No,No,,-4.468782921345107,36.7249595663285
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-752e,3395,Contenedor ropa Cl Maestro Pablo Luna,,"CALLE MAESTRO PABLO LUNA, 1 ",POINT (-4.443801345627197 36.725050289972174),,,,,,MUNICIPAL,No,No,,-4.443801345627197,36.725050289972174
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-752d,3414,Contenedor ropa Cl Pablo Gargallo,,"CALLE PABLO GARGALLO, 8 ",POINT (-4.469036595943112 36.72185778641836),,,,,,MUNICIPAL,No,No,,-4.469036595943112,36.72185778641836
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-752c,3367,Contenedor ropa Cl Héroe De Sostoa 128,,"CALLE HÉROE DE SOSTOA, 128 ",POINT (-4.438694450716319 36.705501674946525),,,,,,MUNICIPAL,No,No,,-4.438694450716319,36.705501674946525
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-752b,3369,Contenedor ropa Cl Héroe De Sostoa 170,,"CALLE HÉROE DE SOSTOA, 170 ",POINT (-4.4422337629046496 36.7026508044258),,,,,,MUNICIPAL,No,No,,-4.4422337629046496,36.7026508044258
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-752a,3244,Contenedor ropa Almd Colón,,"ALAMEDA DE COLÓN, 8 ",POINT (-4.424981329380944 36.715652092259774),,,,,,MUNICIPAL,No,No,,-4.424981329380944,36.715652092259774
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7529,3459,Contenedor ropa Pl Cruz De Humilladero,,"PLAZA CRUZ DE HUMILLADERO, 8 ",POINT (-4.440890001292753 36.71243058634687),,,,,,MUNICIPAL,No,No,,-4.440890001292753,36.71243058634687
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7528,3245,Contenedor ropa Av Andersen,,"AVENIDA DE ANDERSEN, 22 ",POINT (-4.482385579569677 36.73726713485575),,,,,,MUNICIPAL,No,No,,-4.482385579569677,36.73726713485575
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7527,3312,Contenedor ropa Cl Alcalde José Luis Estrada,,"CALLE ALCALDE JOSÉ LUIS ESTRADA, 16 ",POINT (-4.44764425963022 36.730885652244055),,,,,,MUNICIPAL,No,No,,-4.44764425963022,36.730885652244055
