FID,ID,NOMBRE,DESCRIPCION,DIRECCION,SDOGEOMETRIA,URL,EMAIL,CONTACTO,HORARIOS,PRECIOS,TITULARIDAD,TARJETAJOVEN,ACCESOPMR,INFOESP,lon,lat
da_medioAmbiente_contenedoresAceite.fid-7e811540_18cccdf8d1c_-7c7c,1984,Contenedor aceite Cl Jose Calderon 174,,"CALLE JOSÉ CALDERÓN, 174 ",POINT (-4.544971667540119 36.7282078450904),,,,,,OTRAS,No,No,,-4.544971667540119,36.7282078450904
da_medioAmbiente_contenedoresAceite.fid-7e811540_18cccdf8d1c_-7c7b,1963,Contenedor aceite Cl Real,,"CALLE REAL, 1 ",POINT (-4.35923244594867 36.72115631139504),,,,,,OTRAS,No,No,,-4.35923244594867,36.72115631139504
da_medioAmbiente_contenedoresAceite.fid-7e811540_18cccdf8d1c_-7c7a,2008,Contenedor aceite Cl Ayala,,"CALLE AYALA, 71 ",POINT (-4.436345086677193 36.70512947521454),,,,,,OTRAS,No,No,,-4.436345086677193,36.70512947521454
da_medioAmbiente_contenedoresAceite.fid-7e811540_18cccdf8d1c_-7c79,2010,Contenedor aceite Cl Jorge Guillen,,"CALLE JORGE GUILLÉN, 26 ",POINT (-4.4432832258652315 36.69946937605937),,,,,,OTRAS,No,No,,-4.4432832258652315,36.69946937605937
da_medioAmbiente_contenedoresAceite.fid-7e811540_18cccdf8d1c_-7c78,2009,Contenedor aceite Av de la Paloma,,"AVENIDA DE LA PALOMA, 39 ",POINT (-4.444797152087533 36.70181855881216),,,,,,OTRAS,No,No,,-4.444797152087533,36.70181855881216
da_medioAmbiente_contenedoresAceite.fid-7e811540_18cccdf8d1c_-7c77,2012,Contenedor aceite Cl Jose Palanca,,"CALLE JOSÉ PALANCA, 20 ",POINT (-4.447811403041562 36.70148542942997),,,,,,OTRAS,No,No,,-4.447811403041562,36.70148542942997
da_medioAmbiente_contenedoresAceite.fid-7e811540_18cccdf8d1c_-7c76,2030,Contenedor aceite Av Moliere,,"AVENIDA DE MOLIÈRE, 20 ",POINT (-4.453489844155162 36.68727056259579),,,,,,OTRAS,No,No,,-4.453489844155162,36.68727056259579
da_medioAmbiente_contenedoresAceite.fid-7e811540_18cccdf8d1c_-7c75,1969,Contenedor aceite Av Santiago Ramon Y Cajal,,"AVENIDA DE SANTIAGO RAMÓN Y CAJAL, 61 ",POINT (-4.423286270299967 36.74431049050359),,,,,,OTRAS,No,No,,-4.423286270299967,36.74431049050359
da_medioAmbiente_contenedoresAceite.fid-7e811540_18cccdf8d1c_-7c74,1966,Contenedor aceite Av Guerrero Strachan,,"AVENIDA DE GUERRERO STRACHAN, 28 ",POINT (-4.422866034256657 36.7372901163346),,,,,,OTRAS,No,No,,-4.422866034256657,36.7372901163346
da_medioAmbiente_contenedoresAceite.fid-7e811540_18cccdf8d1c_-7c73,1958,Contenedor aceite Av Pintor Joaquin Sorolla,,"AVENIDA DEL PINTOR JOAQUÍN SOROLLA, 21 ",POINT (-4.395457833923803 36.72367400654449),,,,,,OTRAS,No,No,,-4.395457833923803,36.72367400654449
